,condition,retroScoreTotal,retroPacmanTotal,trustTotal,explSatisfactionRetroAvg,explSatisfactionTrustAvg,age,gender,totalTime,retroSliders,trustSliders,used_Counterfactual_retro,used_Counterfactual_trust,Intention1,Intention2,Intention3
0,0,0,0,2,2.5,2.75,55.0,1.0,698.92,-15.0,-30.0,0.0,0.0,Primarily to eat the four power pills and blue ghost first before collecting pills.,The AI likes to clear the power pills and capture ghost over just collecting pills.,The AI agent is trying to avoid the ghost while collecting pills in the lower two quadrants.
1,2,2,0,5,2.0,2.25,32.0,1.0,666.7,15.0,-10.0,2.0,0.0,get power pills then attack blue ghosts,Strategy is to avoid ghosts and focus on getting power pills,avoid ghosts
2,1,1,3,4,3.0,3.5,52.0,1.0,485.54999999999995,13.719999999999999,-28.0,3.0,3.0,To eat the pills.,To eat the ghosts.,To avoid the ghosts.
3,0,2,0,5,4.75,4.5,61.0,2.0,363.18000000000006,-15.0,-30.0,0.0,0.0,Eat the blue ghosts.,Eat the power pills.,Avoid the ghosts.
4,1,3,3,3,3.75,3.75,37.0,2.0,475.15000000000003,10.94,-14.39,3.0,3.0,It looked like for the most part that the Agent was trying to get as many edible blue ghosts as possible,It seemed like the agent was focusing on the power pills,The ghosts were important because the agent could take the counterfactual action if the ghosts were not there
5,1,0,1,5,3.5,3.5,40.0,1.0,1063.4699999999998,15.0,29.990000000000002,3.0,3.0,"It seems that pacman is heading to the power pills, eating them, and then targeting the ghosts. ",It seems the AI is focused on collecting the power pills and killing the blue ghosts.,The AI seems most focused on avoiding ghosts and collecting the 10 point pills. 
6,2,3,3,2,1.75,2.5,33.0,1.0,365.34000000000003,15.0,30.0,3.0,3.0,Avoiding the ghosts while getting as many pills as possible.,Ate the normal pills until it could move up and eat the power pill.,Tried to avoid the ghosts and get the power pills but kept dying after.
7,0,0,0,3,4.0,3.75,35.0,1.0,325.5,-15.0,-30.0,0.0,0.0,The agent's strategy was to collect pills while eliminating as many ghosts as possible by eating them,"The agent's strategy was to move around the board, avoid the ghosts and eat as many pills and power pills as possible","The agent's strategy is to avoid the ghosts, while also eating as many pills as possible"
8,1,1,0,2,4.5,4.75,35.0,1.0,401.92999999999995,14.99,18.87,3.0,3.0,"Pacman seemed to chase down ghosts and then items to eat. Pacman did use both items to move around for a purpose, but largely the ghosts.",The AI seemed to avoid the ghosts and then go in to areas that still had remaining things for Pacman to eat.,"The ghosts were chasing Pacman, so it appeared the main reason was avoid the ghosts. It didn't seem to really seek out the items to eat."
9,2,0,1,2,4.0,4.25,41.0,1.0,861.23,15.0,-30.0,3.0,3.0,"Pacman will try to eat any blue ghosts first, but if they are not nearby, Pacman will move towards the normal pills.",Pacman will move towards wherever the most normal pills still exist.,"Pacman will move away from ghosts unless they turn blue and he can then eat them.  If they turn blue, Pacman will turn towards ghosts to chase them."
