,condition,retroScoreTotal,trustTotal,explSatisfactionRetroAvg,explSatisfactionTrustAvg
0,0,0,2,2.5,2.75
2,1,1,4,3.0,3.5
3,0,2,5,4.75,4.5
4,1,3,3,3.75,3.75
5,1,0,5,3.5,3.5
7,0,0,3,4.0,3.75
8,1,1,2,4.5,4.75
10,0,2,4,4.25,4.5
11,1,0,2,2.5,3.25
12,0,1,5,4.5,4.25
13,0,2,2,3.0,2.75
15,1,0,2,2.5,2.75
16,1,2,4,2.25,2.0
17,0,1,3,4.0,4.25
18,0,1,3,2.5,2.75
19,0,1,5,3.25,3.25
22,0,1,3,3.5,3.25
23,1,1,3,3.5,2.5
25,1,3,2,1.0,1.0
27,1,2,5,2.5,1.25
28,0,1,2,3.75,4.0
29,1,2,2,3.5,3.5
30,0,2,3,4.0,3.5
31,0,1,3,3.25,3.0
32,1,1,3,3.5,4.0
33,0,0,2,3.0,3.0
35,0,1,5,4.25,4.0
36,0,1,2,3.0,3.0
39,1,1,3,1.75,1.75
40,1,1,2,4.0,4.0
41,0,1,5,4.0,4.0
42,1,2,5,4.0,4.0
45,1,0,2,4.5,4.0
46,0,1,3,4.0,4.25
47,1,0,3,4.25,4.0
48,1,1,3,3.75,3.75
50,0,0,3,4.0,5.0
51,0,1,5,4.75,4.75
53,1,1,5,3.75,4.0
54,0,1,3,4.5,4.75
57,1,2,5,3.5,3.25
58,0,0,2,4.5,4.5
59,0,0,3,3.75,3.5
62,0,1,5,2.75,2.75
63,1,2,3,3.0,3.25
64,0,0,2,4.0,4.0
67,0,0,2,3.5,3.5
69,0,2,2,4.5,4.5
71,1,1,3,4.0,4.0
72,0,0,5,3.0,3.25
73,1,2,2,2.5,2.5
74,0,0,3,4.0,3.5
75,1,1,3,2.25,2.25
76,0,0,2,4.5,3.75
86,1,1,3,2.25,2.25
87,1,1,3,3.5,3.25
88,1,0,5,3.0,3.0
89,1,1,3,3.5,3.0
