,condition,retroScoreTotal,trustTotal,explSatisfactionRetroAvg,explSatisfactionTrustAvg
0,0,0,2,2.5,2.75
1,2,2,5,2.0,2.25
3,0,2,5,4.75,4.5
6,2,3,2,1.75,2.5
7,0,0,3,4.0,3.75
9,2,0,2,4.0,4.25
10,0,2,4,4.25,4.5
12,0,1,5,4.5,4.25
13,0,2,2,3.0,2.75
14,2,3,5,3.75,3.5
17,0,1,3,4.0,4.25
18,0,1,3,2.5,2.75
19,0,1,5,3.25,3.25
20,2,2,2,3.5,4.0
21,2,0,3,2.25,2.5
22,0,1,3,3.5,3.25
24,2,2,2,3.0,3.0
26,2,2,2,4.0,4.5
28,0,1,2,3.75,4.0
30,0,2,3,4.0,3.5
31,0,1,3,3.25,3.0
33,0,0,2,3.0,3.0
35,0,1,5,4.25,4.0
36,0,1,2,3.0,3.0
37,2,3,3,4.75,4.5
41,0,1,5,4.0,4.0
43,2,3,3,3.75,3.75
46,0,1,3,4.0,4.25
50,0,0,3,4.0,5.0
51,0,1,5,4.75,4.75
52,2,1,3,3.5,3.5
54,0,1,3,4.5,4.75
55,2,1,3,2.0,2.0
58,0,0,2,4.5,4.5
59,0,0,3,3.75,3.5
61,2,2,4,3.5,3.5
62,0,1,5,2.75,2.75
64,0,0,2,4.0,4.0
65,2,1,2,3.75,4.0
66,2,2,2,3.25,2.75
67,0,0,2,3.5,3.5
68,2,2,3,3.0,3.0
69,0,2,2,4.5,4.5
72,0,0,5,3.0,3.25
74,0,0,3,4.0,3.5
76,0,0,2,4.5,3.75
77,2,2,4,3.75,3.75
78,2,0,3,3.25,4.75
79,2,0,3,2.5,2.5
80,2,2,4,3.75,3.0
81,2,1,2,1.0,1.0
82,2,3,2,3.5,3.0
83,2,1,2,3.5,4.0
